colour,id,dayofweek-month-dayofmonth,daynumber,unixtimeint,hour
#8B7D7D,1152722080165873450_545005592,FriJan1,1,1451635201,00
#4C3F3F,1152722094194289757_285178194,FriJan1,1,1451635203,00
#716666,1152722146880749719_340863,FriJan1,1,1451635209,00
#0E1818,1152722289628974768_1218090162,FriJan1,1,1451635226,00
#4B4848,1152722314556148964_379404674,FriJan1,1,1451635229,00
#362121,1152722728130103122_334618504,FriJan1,1,1451635279,00
#757575,1152722797587144829_283367887,FriJan1,1,1451635287,00
#080B0B,1152722849143275972_1355947639,FriJan1,1,1451635293,00
#574646,1152722844388596908_1023219262,FriJan1,1,1451635293,00
#B08282,1152722875065464811_263843996,FriJan1,1,1451635296,00
#9C6D6D,1152722879199530956_223147514,FriJan1,1,1451635297,00
#271A1A,1152722959092157259_492762049,FriJan1,1,1451635306,00
#574F4F,1152722982721587813_326410801,FriJan1,1,1451635309,00
#211F1F,1152723018014642404_838852931,FriJan1,1,1451635313,00
#846161,1152723180182930486_19762656,FriJan1,1,1451635333,00
#131212,1152723326588008722_506121389,FriJan1,1,1451635350,00
#140C0C,1152723412807644430_39587876,FriJan1,1,1451635360,00
#9A7E7E,1152723434911973738_1567553215,FriJan1,1,1451635363,00
#111A1A,1152723431489509217_1523498300,FriJan1,1,1451635363,00
#664A4A,1152723480098184985_2260430070,FriJan1,1,1451635368,00
#A58787,1152723563139767508_212752758,FriJan1,1,1451635378,00
#B47272,1152723831666538805_454491821,FriJan1,1,1451635410,00
#A78585,1152723995053474667_1987513791,FriJan1,1,1451635430,00
#704A4A,1152724149962828161_1469910793,FriJan1,1,1451635448,00
#060808,1152724167772784850_550626713,FriJan1,1,1451635450,00
#271010,1152724172095333879_266839072,FriJan1,1,1451635451,00
#A23F3F,1152724316150066281_2456306,FriJan1,1,1451635468,00
#3E5757,1152724581888091877_31744920,FriJan1,1,1451635500,00
#564C4C,1152724708312226253_573329357,FriJan1,1,1451635515,00
#4E3737,1152724783196927149_6538964,FriJan1,1,1451635524,00
#0C1414,1152724796573513560_540830796,FriJan1,1,1451635525,00
#304B4B,1152724868589193140_1775560288,FriJan1,1,1451635534,00
#A69797,1152724889061262658_2273139064,FriJan1,1,1451635536,00
#493636,1152724908730130287_1351476702,FriJan1,1,1451635539,00
#5C4646,1152725027723780353_1936907919,FriJan1,1,1451635553,00
#3E3030,1152725076350096397_265310532,FriJan1,1,1451635559,00
#432E2E,1152725091158281895_215162770,FriJan1,1,1451635560,00
#5C5D5D,1152725112203021809_48695546,FriJan1,1,1451635563,00
#756E6E,1152725195772839065_1964302992,FriJan1,1,1451635573,00
#4F4242,1152725194545119403_2855079,FriJan1,1,1451635573,00
#181E1E,1152725234786251225_506111035,FriJan1,1,1451635578,00
#5E3232,1152725250061293391_208220436,FriJan1,1,1451635579,00
#271616,1152725280776387141_1955419733,FriJan1,1,1451635583,00
#161919,1152725384388405709_1534025761,FriJan1,1,1451635595,00
#775F5F,1152725448261551267_1964302992,FriJan1,1,1451635603,00
#131818,1152725455838415111_27779897,FriJan1,1,1451635604,00
#331313,1152725539254141132_238229319,FriJan1,1,1451635614,00
#604E4E,1152725556875213316_2866005,FriJan1,1,1451635616,00
#070505,1152725581942157101_1144177746,FriJan1,1,1451635619,00
#A82C2C,1152725606185180662_428692694,FriJan1,1,1451635622,00
#615353,1152725613634569386_1964302992,FriJan1,1,1451635623,00
#315C5C,1152725652152289233_1775560288,FriJan1,1,1451635627,00
#473131,1152725732234052565_371309303,FriJan1,1,1451635637,00
#110F0F,1152725730033134492_1451956273,FriJan1,1,1451635637,00
#160E0E,1152725759310804816_1605742668,FriJan1,1,1451635640,00
#1C3939,1152725793215888658_321156038,FriJan1,1,1451635644,00
#755858,1152725833019724854_765932,FriJan1,1,1451635649,00
#4C5C5C,1152725873320873772_245748154,FriJan1,1,1451635654,00
#0C0606,1152725912317411417_1436321103,FriJan1,1,1451635658,00
#432121,1152726011122285423_346884861,FriJan1,1,1451635670,00
#343535,1152726024458257592_1964302992,FriJan1,1,1451635672,00
#9A9999,1152726136053311074_192954360,FriJan1,1,1451635685,00
#312121,1152726143165088300_1355947639,FriJan1,1,1451635686,00
#2B2222,1152726190542582849_493876308,FriJan1,1,1451635691,00
#2D2727,1152726207839067255_12490502,FriJan1,1,1451635693,00
#6F4949,1152726256686529292_11856085,FriJan1,1,1451635699,00
#362C2C,1152726253474227960_204726608,FriJan1,1,1451635699,00
#804D4D,1152726293841457197_231982827,FriJan1,1,1451635704,00
#514A4A,1152726320363499019_3925154,FriJan1,1,1451635707,00
#413232,1152726342168441916_21458036,FriJan1,1,1451635710,00
#0C0C0C,1152726382467489184_54993206,FriJan1,1,1451635714,00
#6A4848,1152726428889826507_1964302992,FriJan1,1,1451635720,00
#424242,1152726494758506207_4429290,FriJan1,1,1451635728,00
#3E2929,1152726517223320573_8764409,FriJan1,1,1451635730,00
#3D2424,1152726511376102534_259939060,FriJan1,1,1451635730,00
#352828,1152726557563821025_144409101,FriJan1,1,1451635735,00
#1C4141,1152726573274863590_1523498300,FriJan1,1,1451635737,00
#565B5B,1152726623037634091_15674812,FriJan1,1,1451635743,00
#292B2B,1152726752469529001_1522055587,FriJan1,1,1451635758,00
#251E1E,1152726780600794927_1266004750,FriJan1,1,1451635762,00
#7B6868,1152726830955198169_204757396,FriJan1,1,1451635768,00
#8C4444,1152726877308922521_7690713,FriJan1,1,1451635773,00
#435E5E,1152726882200766547_247881969,FriJan1,1,1451635774,00
#102F2F,1152726927281395108_249407212,FriJan1,1,1451635779,00
#4B2B2B,1152726946770205638_633904237,FriJan1,1,1451635782,00
#1D1818,1152726987703101237_36120808,FriJan1,1,1451635786,00
#110B0B,1152726999148515944_1384039083,FriJan1,1,1451635788,00
#0D0707,1152727026786865164_1246267019,FriJan1,1,1451635791,00
#211818,1152727180393236579_1227049529,FriJan1,1,1451635809,00
#462F2F,1152727175997892313_317294808,FriJan1,1,1451635809,00
#825959,1152727206940954327_22872354,FriJan1,1,1451635813,00
#402C2C,1152727276966937615_1775560288,FriJan1,1,1451635821,00
#241F1F,1152727282530956854_1956642604,FriJan1,1,1451635822,00
#220505,1152727359562833798_40301910,FriJan1,1,1451635831,00
#4F4141,1152727415449616038_1418742,FriJan1,1,1451635837,00
#6B8F8F,1152727412345478832_443398,FriJan1,1,1451635837,00
#664E4E,1152727578531414616_1355947639,FriJan1,1,1451635857,00
#010101,1152727635681427606_1436321103,FriJan1,1,1451635864,00
#734343,1152727746292747452_4530258,FriJan1,1,1451635877,00
#6C3333,1152727837904765985_1775560288,FriJan1,1,1451635888,00
#B27E7E,1152727865221772644_361118900,FriJan1,1,1451635891,00
#180F0F,1152727934829829463_233153302,FriJan1,1,1451635899,00
#7A7676,1152727990028050841_246204455,FriJan1,1,1451635906,00
#101818,1152728005576032910_1524380063,FriJan1,1,1451635908,00
#281E1E,1152728024939012112_2099717087,FriJan1,1,1451635910,00
#453232,1152728108373923118_2208078860,FriJan1,1,1451635920,00
#281A1A,1152728211846115720_14712603,FriJan1,1,1451635932,00
#706161,1152728282412125223_175453618,FriJan1,1,1451635941,00
#655959,1152728297862355061_25232069,FriJan1,1,1451635943,00
#533434,1152728368501839544_10866108,FriJan1,1,1451635951,00
#A16969,1152728368401983253_11746896,FriJan1,1,1451635951,00
#393434,1152728392946874796_33661725,FriJan1,1,1451635954,00
#846565,1152728422158030922_257983701,FriJan1,1,1451635957,00
#031010,1152728441827972659_2318862388,FriJan1,1,1451635960,00
#797878,1152728501406043295_7744514,FriJan1,1,1451635967,00
#554B4B,1152728507550565433_1775560288,FriJan1,1,1451635968,00
#5C4B4B,1152728520435281681_316485106,FriJan1,1,1451635969,00
#504E4E,1152728551104760965_104785818,FriJan1,1,1451635973,00
#331919,1152728622042959207_2274424850,FriJan1,1,1451635981,00
#626464,1152728669218076397_245022492,FriJan1,1,1451635987,00
#333333,1152728701524619930_596734459,FriJan1,1,1451635991,00
#836A6A,1152728732611475108_51698164,FriJan1,1,1451635994,00
#3D2D2D,1152728768504371081_1550736252,FriJan1,1,1451635999,00
#553A3A,1152728790644742389_1555854021,FriJan1,1,1451636001,00
#732B2B,1152728866896700130_341403543,FriJan1,1,1451636010,00
#F0F0F0,1152728881912129353_1032343368,FriJan1,1,1451636012,00
#583E3E,1152728993279902164_1378393967,FriJan1,1,1451636026,00
#373131,1152729075090604098_243195655,FriJan1,1,1451636035,00
#814343,1152729135080529533_979578574,FriJan1,1,1451636042,00
#724D4D,1152729146008748167_385986487,FriJan1,1,1451636044,00
#333B3B,1152729231726255366_8429134,FriJan1,1,1451636054,00
#181414,1152729280158641395_4510778,FriJan1,1,1451636060,00
#4C2F2F,1152729312122898514_2719353,FriJan1,1,1451636063,00
#151616,1152729325862360129_1523498300,FriJan1,1,1451636065,00
#8D7575,1152729330540831454_1483635983,FriJan1,1,1451636066,00
#C2B2B2,1152729370008594597_243135361,FriJan1,1,1451636070,00
#956C6C,1152729411330662539_1424515151,FriJan1,1,1451636075,00
#845F5F,1152729426799162505_1804015060,FriJan1,1,1451636077,00
#312626,1152729447552812125_1775560288,FriJan1,1,1451636080,00
#241919,1152729481493292063_9340456,FriJan1,1,1451636084,00
#603737,1152729498667426506_203348047,FriJan1,1,1451636086,00
#713939,1152729519464282086_1530474508,FriJan1,1,1451636088,00
#2E1A1A,1152729680818349367_310543720,FriJan1,1,1451636107,00
#895858,1152729704792158723_203142907,FriJan1,1,1451636110,00
#110E0E,1152729719633137004_2204234402,FriJan1,1,1451636112,00
#705D5D,1152729795680716514_1584265944,FriJan1,1,1451636121,00
#602C2C,1152729845510822954_25372678,FriJan1,1,1451636127,00
#1B1212,1152729867186850223_1543472545,FriJan1,1,1451636130,00
#5F5656,1152729881147090676_1224104,FriJan1,1,1451636131,00
#7D4242,1152729909550360407_24378560,FriJan1,1,1451636135,00
#795353,1152729937449492648_2267982215,FriJan1,1,1451636138,00
#792F2F,1152730014199417830_1628784705,FriJan1,1,1451636147,00
#955858,1152730040194379284_1824278402,FriJan1,1,1451636150,00
#AC9797,1152730050308523757_1584265944,FriJan1,1,1451636152,00
#211515,1152730134227379911_748665184,FriJan1,1,1451636162,00
